! Sample Annotation file for GO Slim DAG.
!
! Oct. 2006 by Keiichiro Ono
!
!
ID	Ontology Term Name	Name Space	Alias	Subset
GO:0008152 	 metabolism	 biological_process	GO:0008152 	 gosubset_prok
GO:0006091 	 generation of precursor metabolites and energy	 biological_process	GO:0006091 	 gosubset_prok
GO:0044238 	 primary metabolism	 biological_process	GO:0044238 	 gosubset_prok
GO:0005975 	 carbohydrate metabolism	 biological_process	GO:0005975 	 gosubset_prok
GO:0005941 	 unlocalized protein complex	 cellular_component	GO:0005941 	 gosubset_prok
GO:0005929 	 cilium	 cellular_component	GO:0005929 	 goslim_generic
GO:0005886 	 plasma membrane	 cellular_component	GO:0005886 	 gosubset_prok
GO:0005856 	 cytoskeleton	 cellular_component	GO:0005856 	 gosubset_prok
GO:0043234 	 protein complex	 cellular_component	GO:0043234 	 gosubset_prok
GO:0005840 	 ribosome	 cellular_component	GO:0005840 	 gosubset_prok
GO:0005829 	 cytosol	 cellular_component	GO:0005829 	 gosubset_prok
GO:0005815 	 microtubule organizing center	 cellular_component	GO:0005815 	 goslim_yeast
GO:0005811 	 lipid particle	 cellular_component	GO:0005811 	 goslim_generic
GO:0005794 	 Golgi apparatus	 cellular_component	GO:0005794 	 goslim_yeast
GO:0005783 	 endoplasmic reticulum	 cellular_component	GO:0005783 	 goslim_yeast
GO:0005777 	 peroxisome	 cellular_component	GO:0005777 	 goslim_yeast
GO:0005768 	 endosome	 cellular_component	GO:0005768 	 goslim_plant
GO:0005773 	 vacuole	 cellular_component	GO:0005773 	 gosubset_prok
GO:0005764 	 lysosome	 cellular_component	GO:0005764 	 goslim_plant
GO:0005739 	 mitochondrion	 cellular_component	GO:0005739 	 goslim_yeast
GO:0005737 	 cytoplasm	 cellular_component	GO:0005737 	 gosubset_prok
GO:0005730 	 nucleolus	 cellular_component	GO:0005730 	 goslim_yeast
GO:0005654 	 nucleoplasm	 cellular_component	GO:0005654 	 goslim_plant
GO:0005635 	 nuclear envelope	 cellular_component	GO:0005635 	 goslim_plant
GO:0043226 	 organelle	 cellular_component	GO:0043226 	 gosubset_prok
GO:0005634 	 nucleus	 cellular_component	GO:0005634 	 goslim_yeast
GO:0005623 	 cell	 cellular_component	GO:0005623 	 gosubset_prok
GO:0005622 	 intracellular	 cellular_component	GO:0005622 	 gosubset_prok
GO:0030312 	 external encapsulating structure	 cellular_component	GO:0030312 	 gosubset_prok
GO:0005618 	 cell wall	 cellular_component	GO:0005618 	 gosubset_prok
GO:0005615 	 extracellular space	 cellular_component	GO:0005615 	 goslim_plant
GO:0005578 	 extracellular matrix (sensu Metazoa)	 cellular_component	GO:0005578 	 goslim_plant
GO:0005575 	 cellular_component	 cellular_component	GO:0005575 	 gosubset_prok
GO:0005576 	 extracellular region	 cellular_component	GO:0005576 	 gosubset_prok
GO:0005554 	 molecular function unknown	 molecular_function	GO:0005554 	 gosubset_prok
GO:0005509 	 calcium ion binding	 molecular_function	GO:0005509 	 gosubset_prok
GO:0005326 	 neurotransmitter transporter activity	 molecular_function	GO:0005326 	 gosubset_prok
GO:0005216 	 ion channel activity	 molecular_function	GO:0005216 	 gosubset_prok
GO:0005215 	 transporter activity	 molecular_function	GO:0005215 	 gosubset_prok
GO:0005198 	 structural molecule activity	 molecular_function	GO:0005198 	 gosubset_prok
GO:0005515 	 protein binding	 molecular_function	GO:0005515 	 gosubset_prok
GO:0005102 	 receptor binding	 molecular_function	GO:0005102 	 gosubset_prok
GO:0004872 	 receptor activity	 molecular_function	GO:0004872 	 gosubset_prok
GO:0004871 	 signal transducer activity	 molecular_function	GO:0004871 	 gosubset_prok
GO:0004721 	 phosphoprotein phosphatase activity	 molecular_function	GO:0004721 	 gosubset_prok
GO:0016301 	 kinase activity	 molecular_function	GO:0016301 	 gosubset_prok
GO:0004672 	 protein kinase activity	 molecular_function	GO:0004672 	 gosubset_prok
GO:0016787 	 hydrolase activity	 molecular_function	GO:0016787 	 gosubset_prok
GO:0004518 	 nuclease activity	 molecular_function	GO:0004518 	 gosubset_prok
GO:0003824 	 catalytic activity	 molecular_function	GO:0003824 	 gosubset_prok
GO:0008092 	 cytoskeletal protein binding	 molecular_function	GO:0008092 	 gosubset_prok
GO:0003779 	 actin binding	 molecular_function	GO:0003779 	 goslim_generic
GO:0003674 	 molecular_function	 molecular_function	GO:0003674 	 gosubset_prok
GO:0003774 	 motor activity	 molecular_function	GO:0003774 	 gosubset_prok
GO:0003723 	 RNA binding	 molecular_function	GO:0003723 	 gosubset_prok
GO:0030528 	 transcription regulator activity	 molecular_function	GO:0030528 	 gosubset_prok
GO:0003700 	 transcription factor activity	 molecular_function	GO:0003700 	 gosubset_prok
GO:0003682 	 chromatin binding	 molecular_function	GO:0003682 	 goslim_plant
GO:0003677 	 DNA binding	 molecular_function	GO:0003677 	 gosubset_prok
GO:0003676 	 nucleic acid binding	 molecular_function	GO:0003676 	 gosubset_prok
GO:0000229 	 cytoplasmic chromosome	 cellular_component	GO:0000229 	 gosubset_prok
GO:0005694 	 chromosome	 cellular_component	GO:0005694 	 gosubset_prok
GO:0000228 	 nuclear chromosome	 cellular_component	GO:0000228 	 goslim_generic
GO:0005488 	 binding	 molecular_function	GO:0005488 	 gosubset_prok
GO:0000166 	 nucleotide binding	 molecular_function	GO:0000166 	 gosubset_prok
GO:0008150 	 biological_process	 biological_process	GO:0008150 	 gosubset_prok
GO:0000004 	 biological process unknown	 biological_process	GO:0000004 	 gosubset_prok
