GeneSymbol	Diseases
CDKN2A	Actinic keratosis:Adenovirus infection:Adrenal gland hyperfunction:Barrett's esophagus:Cancer:Cirrhosis:Congenital abnormality:Diabetes mellitus:Eating disorder:Emphysema:Endometriosis:Hamman-Rich syndrome:Herpes:Hypertension:Kidney disease:Oral cancer:Pancreatitis:Papillomavirus infection:Parkinson disease:Protein-energy malnutrition:Ulcerative colitis
CDKN2B	Actinic keratosis:Cancer:Congenital abnormality:Diabetes mellitus:Metaplastic polyp:Oral cancer
GALR1	Drug abuse:Obesity
CDKN2C	Cancer
CDKN2D	Brain tumor:Malignant glioma
GALR2	Cancer:Drug abuse
HSPC159	Nephrosis
NET1	Adenocarcinoma
BCL10	Cancer
PTPRN2	Diabetes mellitus
IL11RA	Breast cancer:Disseminated cancer:Hodgkin's disease:Multiple myeloma:Prostate cancer:Stomach cancer
HIF1A	"Hypertension, Pulmonary":Aseptic necrosis of bone:Atherosclerosis:Barrett's esophagus:Cancer:Congenital abnormality:Dermatitis:Diabetes mellitus:Drug abuse:Hyperglycemia:Infection:Ischemia:Metabolism disease:Moyamoya disease:Obesity:Polyarthritis:Polycythemia:Pre-Eclampsia:Retinal disease:Stroke:Vasculitis
FAM38A	Papillary cancer
NEU3	Colon cancer:Renal Cell cancer
LRRK1	Parkinson disease
FBXO11	Otitis media
ELAC2	Prostate cancer
ADAMTSL3	Colon cancer
IFITM3	Colon cancer
GLUD1	Encephalopathies:Hyperinsulinism:Pancreas disease
BEX1	Brain tumor:Malignant glioma
ST8SIA1	Atherosclerosis:Dental plaque:Lung cancer:Neoplasm metastasis
ATF1	Adenovirus infection:Clear cell carcinoma:Sarcoma
NR2C1	Prostate cancer
G6PC2	Diabetes mellitus:Glycogen storage disease
ADRA2A	Attention deficit hyperactivity disorder:Hypertension:Nervous system disease:Obesity:Schizophrenia
SCN9A	Arteriopathy:Prostate cancer
ADRA2C	Common cold
ADRA2B	Diabetes mellitus:Hypertension:Obesity:Polycystic ovary syndrome
ARHGDIA	Brain tumor:Enteritis:Ulcerative colitis
AP2M1	Squamous cell cancer
ARHGDIB	Cancer
FIBP	Cirrhosis
MMAB	Congenital abnormality
NMT2	Hypogonadism
RBMY1A1	Azoospermia:Liver cancer:Testicular dysfunction
CDKN1C	Atherosclerosis:Cancer:Congenital abnormality:Ovarian disease:Placenta disease
HDAC5	Cancer:Heart failure
ATP7A	Congenital abnormality:Encephalopathies:Myopathy:Ovarian cancer
HDAC4	Breast cancer:Heart failure:Leukemia:Myelofibrosis
ATF5	Bipolar disorder:Brain tumor:Liver cancer
ATF4	Bipolar disorder:Embryoma
CDKN1A	Cancer:Chronic rejection of renal transplant:Chronic simple glaucoma:Dermatitis:Endometriosis:Hemolytic-Uremic syndrome:Hyperparathyroidism:Infection:Keratosis:Metaplastic polyp:Neck cancer:Oral cancer:Papillomavirus infection:Polyarthritis:Rheumatoid arthritis:Sarcoidosis
LYVE1	Cancer:Reticulosarcoma
HDAC3	Cancer:Infection
CDKN1B	Adenovirus infection:Alzheimer's disease:Cancer:Hyperparathyroidism:Multiple endocrine neoplasia:Oral cancer:Proteinuria:Testicular dysfunction:Ulcerative colitis
ATF3	Colon cancer:Congenital abnormality:Embryoma:Hyperhomocysteinemia:Infection:Neoplasm metastasis:Nephroblastoma:Primary tumor:Prostate cancer
FAAH	Behavior disease:Down syndrome:Drug abuse:Huntington disease:Obesity
CYP4Z1	Breast cancer
LVRN	Rheumatoid arthritis
ADRA1B	Kidney failure
FBXO31	Breast cancer
ADRA1A	Hypertension:Kidney failure:Prostate cancer
ADM2	Dermatitis
SCN8A	Myopathy
HDAC9	Rabies
HDAC8	Cancer:Embryoma
ADRA1D	Kidney failure
HDAC6	Breast cancer:HIV infection
ATP7B	Carcinoma:Congenital abnormality:Copper metabolism disorder:Encephalopathies:Liver disease:Movement disorder:Ovarian cancer
E2F1	Alzheimer's disease:Cancer:HIV infection:Parkinson disease
E2F2	Cancer
E2F3	Cancer
E2F4	Breast cancer:Colon cancer
HINT1	Down syndrome
PAX6	Adenovirus infection:Bladder cancer:Brain tumor:Congenital abnormality:Hyperopia
PAX5	Cancer
PAX4	Diabetes mellitus:Leukemia
PAWR	Bipolar disorder:Leukoencephalopathy:Lung cancer:Nasopharyngeal cancer:Neuroblastoma:Pancreas cancer:Psychotic disorder
PAX3	Gestational diabetes:Melanoma:Neoplasm metastasis:Rhabdomyosarcoma:Spinal dysraphism:Thrombophlebitis
PAX2	Kaposi sarcoma:Kidney disease:Papillary cancer:Primary tumor
SDC4	Breast cancer:Congenital abnormality
SDC2	Colon cancer:Diabetes mellitus:Leukemia:Neoplasm metastasis
SDC3	Muscular dystrophy:Obesity:Rheumatoid arthritis
CYP3A43	Prostate cancer
PRMT3	Cancer
PRMT1	Breast cancer:Embryoma
PRMT5	Stomach cancer:Testicular tumor
PAX7	Myopathy:Neoplasm metastasis
PIWIL1	Cancer:Stomach cancer
ACAD9	Retinal disease
IMPDH1	Amaurosis congenita of leber I :Retinal disease:Retinitis pigmentosa
IMPDH2	Diabetes mellitus:Osteosarcoma
ACADM	Liver failure
IGL@	Hodgkin's disease:Multiple myeloma
HOXC10	Cervical cancer
SH2D3C	Breast cancer
ADFP	Abortion:Clear cell carcinoma:Diabetes mellitus:Liver cancer:Liver tumor:Rabies
SDC1	Cancer:Infection
SH2D3A	Breast cancer
TNFSF13B	"Purpura, Thrombocytopenic, Idiopathic":Alopecia:Autoimmune disease:Common variable immunodeficiency:Congenital abnormality:Embryoma:Endometriosis:Epstein-Barr virus infection:IGA glomerulonephritis:Immune complex disease:Immunologic deficiency syndrome:Lupus erythematosus:Lymphoma:Periodontitis:Rhabdomyosarcoma:Sicca syndrome:Sinusitis:Systemic scleroderma
SLC41A1	Malnutrition
MAPRE2	Esophagus cancer:Leukemia
JMJD1C	Autistic disorder
FRYL	Leukemia
ADH5	Asthma:Lung cancer:Pancreas cancer
ADH7	Embryoma:Stomach cancer
APLP2	Alzheimer's disease
APLP1	Neuroendocrine tumor
APLNR	Brain tumor:Pre-Eclampsia:Stroke
DFNA54	Deafness
DFNA53	Deafness
ATIC	Rheumatoid arthritis
ADH4	Drug abuse:Rheumatoid arthritis
SCNN1G	Bronchiectasis:Cystic fibrosis:Hypertension:Ulcerative colitis
SCNN1B	Bronchiectasis:Cystic fibrosis:Hypertension:Kidney disease:Ulcerative colitis:Yersinia infection
SCNN1A	Kidney disease:Respiratory failure
SCN5A	Breast cancer:Congenital abnormality:Drug abuse:Heart disease:Intestinal disease:Ischemia:Long QT syndrome:Sudden infant death syndrome
SELPLG	Abortion:Asthma:Atherosclerosis:Dermatitis:Infection:Multiple sclerosis
FIGF	Cancer
SCNN1D	Melanoma
GBA	Brain disease:Parkinson disease
TMC6	"Skin disease, Genetic"
ADARB1	Behcet syndrome:Bipolar disorder:Brain tumor:Hodgkin's disease
BCS1L	Metabolism disease:Mitochondrial disease
FIG4	Neuropathy
GCG	Alimentary system disease:Anorexia nervosa:Congenital abnormality:Glucose intolerance:Hyperglycemia:Metabolism disease
GCK	Diabetes mellitus:Hyperglycemia:Hyperinsulinism:Metabolism disease:Pancreas disease
HIF3A	Cancer
MEP1A	Colon cancer:Migraine
SCN4B	Long QT syndrome
FAF1	Stomach cancer
SCN4A	Common cold:Drug abuse:Myopathy
RCN2	Epilepsy
EDN3	Melanoma
IL6ST	Alopecia:Atherosclerosis:Cervical cancer:Congenital abnormality:Dermatitis:Embryoma:Heart failure:Infectious lung disease:Liver disease:Lung cancer:Malignant glioma:Melanoma:Multiple myeloma:Obesity
EDN2	Cancer
NELL1	Craniosynostosis
EDN1	"Prostatic hypertrophy, Benign":Amnionitis:Asthma:Atherosclerosis:Atopic rhinitis:Basal cell carcinoma:Bladder cancer:Bone metastases:Brain tumor:Breast cancer:Capillaries disease:Colon cancer:Diabetes mellitus:Embryoma:Endemic goiter:Filariasis:Gastritis:Gingival overgrowth:Graves' disease:Growth retardation:Heart failure:Hyperinsulinism:Hypertension:IGA glomerulonephritis:Ischemia:Kidney disease:Melanoma:Obesity:Osteitis deformans:Ovarian cancer:Pancreatitis:Polyarthritis:Polycythemia:Primary tumor:Prostate cancer:Pulmonary fibrosis:Rabies:Respiratory distress syndrome:Rheumatoid arthritis:Squamous cell cancer:Stroke:Subarachnoid hemorrhage:Systemic infection:Systemic scleroderma:Vitiligo
FST	Endometrial cancer:Endometriosis:Liver tumor:Melanoma:Muscular dystrophies:Neoplasm metastasis:Polycystic ovary syndrome:Pre-Eclampsia:Septicemia
NELF	Urogenital abnormalities
WWP2	Adenovirus infection
WWP1	Breast cancer:Embryoma
WNK4	Hypertension
ANAPC1	Colon cancer
SGPL1	Infection
C5AR1	Alzheimer's disease:Asthma:Chronic obstructive airway disease:Rheumatoid arthritis:Vascular dementia
EMX2	Endometriosis:Epilepsy
WNK1	Hypertension
WNK3	Mental retardation
GPR132	Dental plaque
WNK2	Cancer
DCTN1	Amyotrophic lateral sclerosis:Spinal cord disease
VEGFB	Cancer:Liver cancer
VEGFC	Cancer:Rheumatoid arthritis
PIAS3	Brain tumor:Leukemia:Lung cancer
VEGFA	Atherosclerosis:Cancer:Capillaries disease:Chronic obstructive airway disease:Diabetes mellitus:Familial Mediterranean fever:Kidney failure:Leukoencephalopathy:Macular degeneration:Malaria:Mucocutaneous lymph node syndrome:Obesity:Peptic ulcer:Polyneuropathy:Pre-Eclampsia:Systemic infection
NEK8	Cancer
PIAS2	Renal tubular acidosis
AMFR	Leukemia:Liver cancer:Lung cancer:Melanoma:Myelofibrosis:Neoplasm metastasis:Primary tumor
NEK6	Liver cancer
RBP4	Cirrhosis:Diabetes mellitus:Glucose intolerance:Hepatitis C:Kidney disease:Late pregnancy:Obesity
NEK3	Breast cancer:Cancer
RBP1	Cancer:Cirrhosis:Rheumatoid arthritis
NEK2	Cancer
NEK1	Polycystic kidney
HUS1	Lung cancer:Ovary cancer
ALDOB	Liver tumor:Overnutrition
HOXB13	Breast cancer:Female reproductive cancer:Melanoma:Prostate cancer
ACAT2	Prostate cancer:Renal Cell cancer
ACAT1	Yersinia infection
PLAGL1	Cancer:Diabetes mellitus:Intestinal disease
VRK1	Cancer:Vaccinia
VRK2	Vaccinia
KRAS	Cancer:Endometriosis:Pancreatitis:Penile disease:Polycystic ovary syndrome:Testicular dysfunction
CRMP1	Eye disease:Kidney disease:Lung cancer:Neoplasm metastasis
LETMD1	Cancer
AMD1	Bipolar disorder:Prostate cancer:Schizophrenia
NR1H4	Barrett's esophagus:Cholelithiasis:Cholestasis:Esophagitis:Esophagus cancer:Prostate cancer:Skin disease
HAP1	Huntington disease
PLAGL2	Leukemia
NR1H3	Atherosclerosis:Cholelithiasis:Cholestasis:Communicable disease:Obesity:Prostate cancer
TYROBP	Congenital abnormality
MDFI	Drug abuse
PBOV1	Breast cancer:Prostate cancer
IL1RL1	Asthma:Dermatitis:Embryoma:Helicobacter infection:Systemic infection
FTO	Diabetes mellitus:Glucose intolerance:Neoplasm metastasis:Obesity:Polycystic ovary syndrome:Yersinia infection
CIDEA	Obesity
TM2D3	Polyarthritis
NR1I3	Influenza:Liver cancer
ZFHX4	Breast cancer
NR1I2	Adenovirus infection:Endometrium cancer:Enteritis:Epilepsy:Osteosarcoma:Ulcerative colitis
RABEP2	Cancer
RBPJ	Kaposi sarcoma:Liver cancer:Liver tumor:Renal tubular acidosis
ZFHX3	Breast cancer:Liver cancer:Metastasis to lymph nodes:Multiple malignancy:Prostate cancer:Stomach cancer
STEAP4	Obesity
GREB1	Breast cancer:Prostate cancer
ATP5B	Hypertension
MYBPC3	Heart failure
MYAS1	Myasthenia Gravis
ANPEP	Acne:Cancer:Coronavirus infection:Hypertension:Infection
SLC26A1	Breast cancer:Colon cancer:Melanoma
SLC26A2	Fibrosarcoma
PTGES	"Labor, Premature":Arthritis:Brain tumor:Dental plaque:Endometriosis:Liver cancer:Neoplasm metastasis:Polyarthritis:Rheumatoid arthritis:Squamous cell cancer:Viral hepatitis
CCL3L1	Alveolar bone loss:Autoimmune disease:HIV infection:Mucocutaneous lymph node syndrome:Rheumatoid arthritis
HAMP	Anemia:Colon cancer:Embryoma:Kidney failure:Lupus erythematosus:Malaria:Obesity:Rheumatoid arthritis
CCL3L3	Alveolar bone loss
FCGR3A	"Pemphigoid, Bullous":Abortion:Atherosclerosis:Breast cancer:Enteritis:Infection by cryptococcus neoformans:Lupus erythematosus:Multiple sclerosis:Periodontitis:Rheumatoid arthritis
FCGR3B	Autoimmune disease:Glomerulonephritis:IGA glomerulonephritis:Infection by cryptococcus neoformans:Kidney failure:Lupus erythematosus:Periodontal disease:Renal Cell cancer:Rheumatic fever:Thrombocytopenia:Vascular disease
ATP5J	Atherosclerosis:Cardiovascular disease:Ischemia:Kidney failure:Leigh disease
ATP4A	Gastritis
C8ORF17	Cancer:Prostate cancer
SIGMAR1	Alzheimer's disease:Breast cancer
AMBP	Kidney failure:Lung cancer:Multiple myeloma:Neoplasm metastasis:Prostate cancer
SENP1	Prostate cancer
TRDV2	Colon cancer
STEAP2	Prostate cancer
GPR182	Adenoma:Chronic obstructive airway disease:Systemic infection
AVPR2	Kidney failure:Rabies
GPR183	Epstein-Barr virus infection
LIMS1	Brain tumor:Kidney disease:Neoplasm metastasis
OXT	Cancer:Depression:Pervasive development disorder
NEO1	Ovarian cancer
PCTK1	Neuroblastoma
NR1D1	Atherosclerosis:Polyarthritis
XBP1	Bipolar disorder:Breast cancer:Diabetes mellitus:Encephalopathies:Enteritis:Multiple myeloma:Myopathy:Neurotic disorder:Prostate cancer:Schizophrenia:Ulcerative colitis
IL10RB	Abortion:Congenital abnormality
MDC1	Carcinoma:Germ cell tumor:Testicular dysfunction
FCGR1A	Alopecia:Enteritis:Immune complex disease:Lupus erythematosus:Systemic infection
BCL11B	Cancer:Leukemia
IL10RA	Chronic obstructive airway disease:Infection:Lung cancer:Lupus erythematosus:Primary tumor:Prostate cancer:Renal Cell cancer:Schizophrenia
FCGR1B	Alopecia
CSNK1A1	Breast cancer:Leukoencephalopathy
SNAI1L1	Colon cancer
JARID2	Schizophrenia:Spinal dysraphism
FBLN1	Breast cancer:Colon cancer:Fibroid tumor:Hemorrhagic disorder:Retinal disease
SLC16A4	Chronic obstructive airway disease:Colon cancer:Diabetes mellitus:Obesity
FCGR2B	Autoimmune disease:Lupus erythematosus:Melanoma:Neoplasm metastasis
MEOX2	Alzheimer's disease
SLC16A7	Colon cancer
FCGR2C	"Purpura, Thrombocytopenic, Idiopathic"
FBLN5	"Skin disease, Genetic"
GFPT1	Diabetes mellitus:Obesity
ATP5A1	Alzheimer's disease:Rabies
FCGR2A	Antiphospholipid syndrome:Asthma:Atherosclerosis:Autoimmune disease:Breast cancer:Brucellosis:Celiac disease:Communicable disease:Cystic fibrosis:Embryoma:Kidney disease:Lupus erythematosus:Lupus vulgaris:Periodontitis
PDGFB	Atherosclerosis:Bone marrow disease:Cancer:Systemic scleroderma
PDGFA	Cancer:Endometriosis
MMP9	"Pleural effusion, Malignant":Amnionitis:Amyotrophic lateral sclerosis:Arteriopathy:Arthritis:Atherosclerosis:Autoimmune disease:Behcet syndrome:Bronchiolitis obliterans:Bronchopulmonary dysplasia:Cancer:Chronic obstructive airway disease:Cystic fibrosis:Dental plaque:Emphysema:Endometriosis:Esotropia:Gastritis:Glaucoma:Glomerulonephritis:Growth retardation:HTLV-I infection:Heart failure:Helicobacter infection:Henoch-Schoenlein purpura:Hepatitis B:Hypertension:IGA glomerulonephritis:Ischemia:Keratoconjunctivitis Sicca:Lichen planus:Lupus vulgaris:Metabolism disease:Mucocutaneous lymph node syndrome:Obesity:Oral cancer:Ovarian disease:Periodontitis:Pre-Eclampsia:Respiratory tract disease:Sinusitis:Skin cancer:Skin disease:Stroke:Subacute sclerosing panencephalitis:Systemic infection:Systemic scleroderma:Takayasu's arteritis:Transient hypertension of pregnancy:Tropical spastic paraparesis:Varicosity
MMP8	Aortic aneurysm:Atherosclerosis:Bacterial vaginosis:Breast cancer:Bronchiectasis:Bronchiolitis obliterans:Diabetes mellitus:Disseminated cancer:Metastasis to lymph nodes:Myelofibrosis:Sinusitis
MMP7	Biliary Atresia:Cancer:Endometriosis:Macular degeneration:Oral cancer:Pulmonary fibrosis:Rabies:Ulcerative colitis
SFTPA1B	Cutaneous fibrous histiocytoma:Cystic fibrosis:Infection:Lung disease:Otitis media:Pulmonary alveolar proteinosis:Pulmonary fibrosis:Respiratory tract disease
APOBEC3G	HIV infection:Hepatitis:Hyperopia:Neurotic disorder:Peptic ulcer:Viremia:Yersinia infection
MMP3	Adenoma:Alzheimer's disease:Amyloidosis:Atherosclerosis:Brain tumor:Breast cancer:Cholangiocarcinoma:Chondrosarcoma:Cirrhosis:Colon cancer:Congenital abnormality:Endometriosis:Enteritis:Esophagus cancer:Ewings sarcoma:Gouts:Lichen planus:Liver cancer:Lung cancer:Lymphatic metastasis:Lymphoma:Melanoma:Metabolism disease:Mucocutaneous lymph node syndrome:Multiple sclerosis:Necrotizing enterocolitis:Obesity:Oral cancer:Ovarian cancer:Periodontitis:Pneumoconiosis:Polyarthritis:Renal Cell cancer:Rheumatoid arthritis:Squamous cell cancer:Takayasu's arteritis:Thromboangiitis obliterans:Ulcerative colitis:Varicosity
MMP2	Acne:Arthritis:Asthma:Behcet syndrome:Bone disease:Bronchopulmonary dysplasia:CNS metastases:Cancer:Capillaries disease:Cardiovascular disease:Chronic rejection of renal transplant:Degenerative disc disease:Diabetes mellitus:Emphysema:Glomerulonephritis:Growth retardation:Hamman-Rich syndrome:Helicobacter infection:Hepatitis B:Huntington disease:Lichen planus:Muscular dystrophy:Obesity:Periodontitis:Polycystic ovary syndrome:Ptosis:Pulmonary fibrosis:Rheumatoid arthritis:Sinusitis:Skin cancer:Systemic infection:Systemic scleroderma:Takayasu's arteritis:Transient hypertension of pregnancy:Uterine disease:Vasculitis
APOBEC3F	HIV infection:Yersinia infection
APOBEC3C	Infection
MMP1	Atherosclerosis:Cancer:Chronic obstructive airway disease:Connective tissue disease:Dental plaque:Diabetes mellitus:Emphysema:Endometriosis:Enteritis:Gingival overgrowth:Hamman-Rich syndrome:Heart failure:Lyme disease:Malaria:Periodontitis:Polyarthritis:Polycystic ovary syndrome:Ptosis:Rheumatoid arthritis:Synovitis:Systemic scleroderma:Tuberculosis:Ulcerative colitis
SCTR	Cancer
APOBEC3B	Skin disease
WNT2	Autistic disorder:Cancer
APOBEC3A	Skin disease
WNT1	Cancer:Neurodegenerative disorder:Systemic scleroderma
SLC16A1	Breast cancer:Diabetes mellitus:Embryoma:Hemolytic anemia:Hyperinsulinism:Hypoglycemia:Intestinal disease:Lymphoma:Obesity
ATOH1	Cancer
WNT3	Embryoma
SLC25A27	Schizophrenia
PDGFC	Brain tumor:Ewings sarcoma:Fibroid tumor
MCOLN1	Encephalopathies:Lysosomal storage disease
PDGFD	Atherosclerosis:Chronic rejection of renal transplant:Embryoma:Pancreas cancer:Prostate cancer
LGI1	Brain disease:Central nervous system disease:Epilepsy
GNL3	Liver cancer:Stomach cancer
GNLY	Abortion:Down syndrome:HIV infection:Leukemia:Polymyositis
SFTPA2B	Lung disease:Respiratory tract disease
NAPSA	Lung cancer:Pulmonary alveolar proteinosis
NAPSB	Cancer
CHPT1	Breast cancer
LSAMP	Atherosclerosis
DEFA3	"Labor, Premature":Colon cancer:Diabetes mellitus:Fetal disease:Lung disease:Rheumatoid arthritis
DEFA1	"Labor, Premature":Colon cancer:Diabetes mellitus:Drug abuse:Fetal disease:Infection:Rabies:Rheumatoid arthritis
EMP3	Brain tumor:Keratoconus
EMP2	Charcot-Marie-Tooth disease:Emphysema:Infection
EMP1	Emphysema
GAL3ST2	Neoplasm metastasis
IL22RA1	Sinusitis
HAX1	Systemic scleroderma
NEDD9	Melanoma:Parkinson disease:Rheumatoid arthritis
NEDD8	Breast cancer:Squamous cell cancer
AGMAT	Renal Cell cancer
PTPRCAP	Multiple sclerosis
GREM1	"Hypertension, Pulmonary":Basal cell carcinoma:Diabetes mellitus:Embryoma:Kidney disease
UBE2D3	Leukoencephalopathy:Neuroblastoma
REG1B	Congenital abnormality:Diabetes mellitus
REG1A	Adenocarcinoma:Alimentary system disease:Barrett's esophagus:Congenital abnormality:Disseminated cancer:Stomach disease
