Locus,GeneName
YJL144W,YJL144W
YJL217W,YJL217W
YDR433W,YDR433W
YIL092W,YIL092W
YER129W,PAK1
YMR040W,YMR040W
YMR113W,YMR113W
YEL025C,YEL025C
YDR077W,SED1
YPL243W,SRP68
YLR061W,RPL22A
YLR134W,PDC5
YKR082W,NUP133
YDL119C,YDL119C
YLR207W,HRD3
YLL030C,YLL030C
YCL067C,ALPHA2
YNL285W,YNL285W
YBL088C,TEL1
YGR015C,YGR015C
YJL072C,YJL072C
YDR361C,YDR361C
YIL093C,YIL093C
YDR507C,GIN4
YNR020C,YNR020C
YIL166C,YIL166C
YER057C,HIG1
YMR041C,YMR041C
YMR114C,YMR114C
YDR078C,YDR078C
YPL171C,OYE3
YOR296W,YOR296W
YLR062C,YLR062C
YPL244C,YPL244C
YCR099C,YCR099C
YKR083C,YKR083C
YFL004W,YFL004W
YDL046W,YDL046W
YKL051W,YKL051W
YKL124W,SSH4
YOR297C,TIM18
YJL145W,YJL145W
YJL218W,YJL218W
YFR036W,CDC26
YDR434W,YDR434W
YLR135W,YLR135W
YLR208W,SEC13
YLL031C,YLL031C
YCL068C,YCL068C
YNL286W,CUS2
YKL052C,YKL052C
YDR362C,TFC6
YFR037C,RSC8
YIL094C,LYS12
YDR435C,YDR435C
YDR508C,GNP1
YPL172C,COX10
YHR039C-A,VMA10
YLR136C,TIS11
YKR084C,HBS1
YLR209C,YLR209C
YFL005W,SEC4
YEL026W,SNU13
YML010W,SPT5
YDL047W,SIT4
YKL125W,RRN3
YBL089W,YBL089W
YJL073W,JEM1
YGR016W,YGR016W
YJL146W,IDS2
YJL219W,HXT9
YNR021W,YNR021W
YER058W,PET117
YMR042W,ARGR1
YMR115W,YMR115W
YDR079W,PET100
YLR063W,YLR063W
YML011C,YML011C
YPL245W,YPL245W
YLL032C,YLL032C
YNL287W,SEC21
YJL074C,SMC3
YJL147C,YJL147C
YNR022C,YNR022C
YMR116C,ASC1
YPL246C,YPL246C
YOR298W,YOR298W
YKR085C,MRPL20
YFL006W,YFL006W
YCL069W,YCL069W
YKL053W,YKL053W
YKL126W,YPK1
YDR290W,YDR290W
YGR017W,YGR017W
YOR001W,RRP6
YDR363W,ESC2
YFR038W,YFR038W
YDR436W,PPZ2
YIL095W,PRK1
YDR509W,YDR509W
YIL168W,SDL1
YLR420W,URA4
YER059W,PCL6
YMR043W,MCM1
YPL173W,MRPL40
YLR064W,YLR064W
YDL049C,KNH1
YLR137W,YLR137W
YKL054C,YKL054C
YNL288W,YNL288W
YGR018C,YGR018C
YJL075C,YJL075C
YDR364C,CDC40
YIL096C,YIL096C
YFR039C,YFR039C
YIL169C,YIL169C
YLR421C,YLR421C
YPL174C,NIP100
YMR117C,SPC24
YOR299W,BUD7
YPL247C,YPL247C
YLR065C,YLR065C
YFL007W,BLM3
YEL028W,YEL028W
YML012W,ERV25
YLL033W,YLL033W
YKL127W,PGM1
YDR291W,YDR291W
YJL148W,RPA34
YOR002W,ALG6
YDR437W,YDR437W
YNR023W,SNF12
YMR044W,YMR044W
YEL029C,YEL029C
YLR138W,NHA1
YLL034C,YLL034C
YKR086W,PRP16
YKL055C,OAR1
YKL128C,PMU1
YDR292C,SRP101
YDR365C,YDR365C
YMR118C,YMR118C
YPL248C,GAL4
YLR139C,SLS1
YKR087C,YKR087C
YFL008W,SMC1
YML013W,YML013W
YJL076W,NET1
YGR019W,UGA1
YOR003W,YSP3
YJL149W,YJL149W
YIL097W,YIL097W
YDR438W,YDR438W
YNR024W,YNR024W
YLR422W,YLR422W
YPL175W,SPT14
YLR066W,SPC3
YKL056C,YKL056C
YKL129C,MYO3
YJL077C,YJL077C
YDR293C,SSD1
YDR366C,YDR366C
YIL098C,FMC1
YNR025C,YNR025C
YLR423C,YLR423C
YBR110W,ALG1
YPL176C,YPL176C
YPL249C,YPL249C
YLR067C,PET309
YKR088C,YKR088C
YFL009W,CDC4
YGR230W,BNS1
YML014W,YML014W
YLL035W,YLL035W
YBR111C,YSA1
YOR004W,YOR004W
YLR350W,YLR350W
YDR439W,LRS4
YHR210C,YHR210C
YJL205C-A,NCE101
YML015C,TAF40
YGR231C,PHB2
YLL036C,PRP19
YKL057C,NUP120
YDR294C,DPL1
YJL078C,PRY3
YOR005C,DNL4
YLR351C,NIT3
YNR026C,SEC12
YMR047C,NUP116
YPL177C,CUP9
YKR089C,YKR089C
YGL200C,EMP24
YBR112C,SSN6
YAR060C,YAR060C
YDL190C,UFD2
YIL099W,SGA1
YLR424W,YLR424W
YLR068W,YLR068W
YML016C,PPZ1
YDR295C,YDR295C
YJL079C,PRY1
YOR006C,YOR006C
YLR069C,MEF1
YHR211W,FLO5
YGR232W,YGR232W
YGL201C,MCM6
YLL037W,YLL037W
YKL058W,TOA2
YDR368W,YPR1
YLR352W,YLR352W
YLR425W,TUS1
YNR027W,YNR027W
YMR048W,YMR048W
YHR212C,YHR212C
YPL178W,MUD13
YER044C-A,MEI4
YGR233C,PHO81
YLL038C,ENT4
YKL059C,YKL059C
YLR280C,YLR280C
YDR369C,XRS2
YOR007C,SGT2
YMR049C,YMR049C
YBR040W,FIG1
YBR113W,YBR113W
YAR061W,YAR061W
YDL191W,RPL35A
YGR160W,YGR160W
YCR020C,PET18
YLR353W,BUD8
YNR028W,CPR8
YLR426W,YLR426W
YPL179W,SAL6
YGR161C,YGR161C
YML018C,YML018C
YAL030W,SNC1
YLL039C,UBI4
YMR260C,TIF11
YOR008C,SLG1
YLR281C,YLR281C
YLR354C,TAL1
YNR029C,YNR029C
YGL202W,ARO8
YBR041W,FAT1
YBR114W,RAD16
YBL010C,YBL010C
YAR062W,YAR062W
YDL192W,ARF1
YAL031C,YAL031C
YHR140W,YHR140W
YHR213W,YHR213W
YGR234W,YHB1
YGL203C,KEX1
YCR021C,HSP30
YBR042C,YBR042C
YBR115C,LYS2
YDR297W,SUR2
YLR427W,YLR427W
YHR141C,RPL42B
YGR235C,YGR235C
YMR261C,TPS3
YDR298C,ATP5
YLR282C,YLR282C
YGL130W,CEG1
YLR355C,ILV5
YLR428C,YLR428C
YDL193W,YDL193W
YAL032C,PRP45
YHR214W,YHR214W
YGR162W,TIF4631
YDR001C,NTH1
YML019W,OST6
YGL131C,YGL131C
YCR022C,YCR022C
YGL204C,YGL204C
YBR043C,YBR043C
YBR116C,YBR116C
YJR100C,YJR100C
YOR009W,YOR009W
YBL011W,SCT1
YGR236C,YGR236C
YBL012C,YBL012C
YAR064W,YAR064W
YDL194W,SNF3
YHR142W,CHS7
YHR215W,PHO12
YGR090W,YGR090W
YGR163W,GTR2
YOR220W,YOR220W
YCR023C,YCR023C
YBR044C,TCM62
YBR117C,TKL2
YMR262W,YMR262W
YDR299W,BFR2
YLR283W,YLR283W
YLR356W,YLR356W
YLR429W,CRN1
YPR200C,ARR2
YGR237C,YGR237C
YOR221C,MCT1
YAL033W,POP5
YMR190C,SGS1
YLR284C,ECI1
YDR002W,YRB1
YGL132W,YGL132W
YGL205W,POX1
YNL210W,MER1
YJR101W,YJR101W
YDL195W,SEC31
YAL034C,YAL034C
YHR070W,YHR070W
YHR143W,YHR143W
YGR091W,PRP31
YHR216W,YHR216W
YGR164W,YGR164W
YCR024C,YCR024C
YBR045C,GIP1
YMR263W,YMR263W
YNL211C,YNL211C
YJR102C,YJR102C
YLR357W,RSC2
YHR144C,DCD1
YGR238C,KEL2
YBL013W,YBL013W
YGL060W,YGL060W
YDR003W,YDR003W
YGL133W,YGL133W
YLR358C,YLR358C
YBR118W,TEF2
YBL014C,RRN6
YDL196W,YDL196W
YHR071W,PCL5
YHL040C,ARN1
YGR092W,DBF2
YPR201W,ARR3
YGR165W,YGR165W
YGL061C,DUO1
YOR222W,YOR222W
YCR025C,YCR025C
YBR046C,ZTA1
YMR191W,YMR191W
YMR264W,CUE1
YJR030C,YJR030C
YDL197C,ASF2
YLR285W,YLR285W
YHR145C,YHR145C
YGR239C,PEX21
YAL035W,YAL035W
YMR265C,YMR265C
YDR004W,RAD57
YLR286C,CTS1
YGL134W,PCL10
YGL207W,SPT16
YNL212W,YNL212W
YBR119W,MUD1
YJR103W,URA8
YAL036C,YAL036C
YHR072W,ERG7
YIL020C,HIS6
YHR218W,YHR218W
YGR093W,YGR093W
YPR202W,YPR202W
YGR166W,KRE11
YOR150W,MRPL23
YDR005C,MAF1
YOR223W,YOR223W
YCR026C,YCR026C
YKR010C,TOF2
YMR192W,YMR192W
YNL140C,YNL140C
YJR031C,GEA1
YNL213C,YNL213C
YJR104C,SOD1
YDL198C,YHM1
YLR359W,ADE13
YPR130C,YPR130C
YBL015W,ACH1
YOR151C,RPB2
YOR224C,RPB8
YHL041W,YHL041W
YGL062W,PYC1
YLR287C,YLR287C
YGL135W,RPL1B
YGL208W,SIP2
YBR047W,YBR047W
YAR068W,YAR068W
YHR073W,YHR073W
YHR146W,YHR146W
YHR219W,YHR219W
YGR094W,VAS1
YPR203W,YPR203W
YGR167W,CLC1
YDR006C,SOK1
YGL136C,YGL136C
YCR027C,RSG1
YOL120C,RPL18A
YKR011C,YKR011C
YMR193W,MRPL24
YMR266W,YMR266W
YDL199C,YDL199C
YHR147C,MRPL6
YPR131C,YPR131C
YGR095C,RRP46
YGR168C,YGR168C
YOR152C,YOR152C
YBL016W,FUS3
YAL037W,YAL037W
YIL021W,RPB3
YHL042W,YHL042W
YLR288C,MEC3
YGL063W,PUS2
YGL209W,MIG2
YBR048W,RPS11B
YNL141W,AAH1
YNL214W,PEX17
YJR032W,CPR7
YJR105W,YJR105W
YBL017C,PEP1
YHR074W,YHR074W
YPR204W,YPR204W
YGL064C,YGL064C
YOR225W,YOR225W
YCR028C,FEN2
YKR012C,YKR012C
YBR049C,REB1
YMR194W,RPL36A
YMR267W,PPA2
YJR033C,YJR033C
YHR075C,YHR075C
YGR169C,YGR169C
YOR226C,ISU2
YJL001W,PRE3
YAL038W,CDC19
YIL022W,TIM44
YMR268C,PRP24
YHL043W,ECM34
YPL100W,YPL100W
YDR007W,TRP1
YGL137W,SEC27
YNL142W,MEP2
YNL215W,YNL215W
YML090W,YML090W
YJR106W,ECM27
YBL018C,POP8
YJL002C,OST1
YAL039C,CYC3
YIL023C,YIL023C
YHR148W,IMP3
YBR260C,RGD1
YPR132W,RPS23B
YGR096W,YGR096W
YOR080W,YOR080W
YGL065C,ALG2
YOR153W,PDR5
YGL138C,YGL138C
YOL122C,SMF1
YMR195W,YMR195W
YNL143C,YNL143C
YML091C,RPM2
YER066C-A,YER066C-A
YLR289W,GUF1
YHR149C,YHR149C
YPR060C,ARO7
YPR133C,YPR133C
YOR081C,YOR081C
YHL044W,YHL044W
YPL101W,YPL101W
YKR013W,PRY2
YNL070W,TOM7
YNL216W,RAP1
YJR034W,PET191
YJR107W,YJR107W
YHR076W,YHR076W
YIL024C,YIL024C
YBR261C,YBR261C
YGR097W,ASK10
YOR154W,YOR154W
YPL102C,YPL102C
YOL050C,YOL050C
YOR227W,YOR227W
YKR014C,YPT52
YNL144C,YNL144C
YMR269W,YMR269W
YML092C,PRE8
YHR077C,NMD2
YPR061C,YPR061C
YGR098C,ESP1
YOR082C,YOR082C
YBL019W,APN2
YOR155C,YOR155C
YOR228C,YOR228C
YJL003W,YJL003W
YMR197C,VTI1
YHL045W,YHL045W
YGL066W,YGL066W
YDR009W,GAL3
YGL139W,YGL139W
YOL123W,HRP1
YNL071W,LAT1
YJR035W,RAD26
YNL217W,YNL217W
YJR108W,YJR108W
YDR220C,YDR220C
YJL004C,SYS1
YIL025C,YIL025C
YPR134W,MSS18
YBR262C,YBR262C
YHL046C,YHL046C
YPL103C,YPL103C
YOL124C,YOL124C
YKR015C,YKR015C
YJR036C,YJR036C
YJR109C,CPA2
YOR156C,NFI1
YPL030W,YPL030W
YGL067W,YGL067W
YOL051W,GAL11
YNL072W,RNH35
YNL145W,MFA2
YML093W,YML093W
YNL218W,YNL218W
YIL026C,IRR1
YHR078W,YHR078W
YPR062W,FCY1
YHL047C,YHL047C
YPR135W,CTF4
YGR099W,TEL2
YPL031C,PHO85
YOR083W,YOR083W
YOR229W,WTM2
YOL052C,SPE2
YMR198W,CIK1
YNL219C,ALG9
YHR079C,IRE1
YPR063C,YPR063C
YPR136C,YPR136C
YOR157C,PUP1
YDR221W,YDR221W
YJL005W,CYR1
YBR190W,YBR190W
YBR263W,SHM1
YPL104W,MSD1
YGL068W,YGL068W
YOL125W,YOL125W
YKR016W,YKR016W
YNL073W,MSK1
YNL146W,YNL146W
YML094W,GIM5
YJR037W,YJR037W
YKL096W-A,CWP2
YJL006C,CTK2
YIL027C,YIL027C
YBR264C,YPT10
YOR084W,YOR084W
YPL032C,SVL3
YPL105C,YPL105C
YGL069C,YGL069C
YOL126C,MDH2
YKR017C,YKR017C
YNL074C,MLF3
YMR199W,CLN1
YJR038C,YJR038C
YML095C,RAD10
YDR222W,YDR222W
YBR191W,RPL21A
YHL048W,COS8
YOL053W,YOL053W
YNL147W,LSM7
YJL007C,YJL007C
YPR064W,YPR064W
YPR137W,YPR137W
YHL049C,YHL049C
YPL033C,YPL033C
YOR085W,OST3
YOR158W,PET123
YPL106C,SSE1
YKR018C,YKR018C
YNL148C,ALF1
YPR138C,MEP3
YOR086C,YOR086C
YDR150W,NUM1
YOR159C,SME1
YDR223W,YDR223W
YIL028W,YIL028W
YBR192W,RIM2
YBR265W,TSC10
YOL054W,YOL054W
YOL127W,RPL25
YNL075W,IMP4
YER130C,YER130C
YJR039W,YJR039W
YML096W,YML096W
YDR151C,CTH1
YDR224C,HTB1
YJL008C,CCT8
YIL029C,YIL029C
YPR065W,ROX1
YBR193C,MED8
YBR266C,YBR266C
YOL055C,THI20
YOL128C,YOL128C
YKR019C,IRS4
YNL149C,YNL149C
YML097C,VPS9
YOR370C,MRS6
YPR139C,YPR139C
YPL034W,YPL034W
YPL107W,YPL107W
YNL076W,MKS1
YPR066W,UBA3
YPL035C,YPL035C
YOR087W,YOR087W
YDL120W,YFH1
YOR371C,YOR371C
YER131W,RPS26B
YDR152W,YDR152W
YDR225W,HTA1
YJL009W,YJL009W
YDL121C,YDL121C
YBR194W,YBR194W
YBR267W,YBR267W
YPL108W,YPL108W
YOL056W,GPM3
YOL129W,YOL129W
YNL077W,YNL077W
YER132C,PMD1
YML098W,TAF19
YDR153C,YDR153C
YBR195C,MSI1
YPR067W,ISA2
YOR088W,YOR088W
YPL109C,YPL109C
YBL090W,MRP21
YML099C,ARGR2
YOR372C,NDD1
YJL220W,YJL220W
YPR068C,HOS1
YOR089C,VPS21
YDR080W,VPS41
YDR226W,ADK1
YLR210W,CLB4
YBL091C,MAP2
YBR268W,MRPL37
YPL036W,PMA2
YJL221C,FSP2
YOL057W,YOL057W
YNL078W,YNL078W
YDR081C,PDC2
YLR211C,YLR211C
YBR196C,PGI1
YBR269C,YBR269C
YPL037C,EGD1
YDL122W,UBP1
YNL079C,TPM1
YDR510W,SMT3
YPR069C,SPE3
YER060W,FCY21
YER133W,GLC7
YDR227W,SIR4
YDL050C,YDL050C
YCL026C-A,FRM2
YKL201C,MNN4
YOL058W,ARG1
YER061C,CEM1
YER134C,YER134C
YDR155C,CPH1
YDR228C,PCF11
YLR212C,TUB4
YBR197C,YBR197C
YDL123W,YDL123W
YJL222W,VTH2
YFR040W,SAP155
YIL170W,HXT12
YDR511W,YDR511W
YDR082W,STN1
YNL290W,RFC3
YBL093C,ROX3
YPL038W,MET31
YGR020C,VMA7
YFR041C,YFR041C
YOL059W,GPD2
YJL223C,PAU1
YDR512C,YDR512C
YER062C,HOR2
YER135C,YER135C
YOR374W,ALD4
YLR213C,CRR1
YBR198C,TAF90
YNL291C,MID1
YEL030W,ECM10
YDL051W,YLA1
YDL124W,YDL124W
YKL202W,YKL202W
YOR375C,GDH1
YJL150W,YJL150W
YFL010C,YFL010C
YDR083W,YDR083W
YDR156W,RPA14
YDR229W,YDR229W
YLR140W,YLR140W
YDL052C,SLC1
YDL125C,HNT1
YCL073C,YCL073C
YKL130C,SHE2
YBL094C,YBL094C
YKL203C,TOR2
YPL039W,YPL039W
YJL151C,YJL151C
YIL172C,YIL172C
YMR120C,ADE17
YDR084C,YDR084C
YPL250C,YPL250C
YEL031W,SPF1
YGR021W,YGR021W
YDR440W,PCH1
YFR042W,YFR042W
YDR513W,TTR1
YER063W,THO1
YER136W,GDI1
YDL053C,YDL053C
YLR141W,RRN5
YLR214W,FRE1
YDL126C,CDC48
YBR199W,KTR4
YGR022C,YGR022C
YFR043C,YFR043C
YDR441C,APT2
YDR514C,YDR514C
YER064C,YER064C
YER137C,YER137C
YMR121C,RPL15B
YDR085C,AFR1
YOR376W,YOR376W
YLR215C,YLR215C
YFL011W,HXT10
YEL032W,MCM3
YHR001W,YHR001W
YKL131W,YKL131W
YBL095W,YBL095W
YKL204W,YKL204W
YJL152W,YJL152W
YIL173W,VTH1
YPL251W,YPL251W
YDR158W,HOM2
YLR142W,PUT1
YDL054C,YDL054C
YKR090W,YKR090W
YNL293W,MSB3
YBL096C,YBL096C
YKL132C,YKL132C
YJL080C,SCP160
YJL153C,INO1
YFR044C,YFR044C
YER065C,ICL1
YMR122C,YMR122C
YDR086C,SSS1
YLR070C,YLR070C
YPL252C,YAH1
YOR377W,ATF1
YLR216C,CPR6
YNL294C,YNL294C
YFL012W,YFL012W
YEL033W,YEL033W
YDL127W,PCL2
YHR002W,YHR002W
YGR023W,MTL1
YKL205W,LOS1
YDR442W,YDR442W
YDR515W,SLF1
YIL174W,YIL174W
YFL013C,YFL013C
YDR159W,SAC3
YLR143W,YLR143W
YDL055C,PSA1
YKR091W,SRL3
YHR003C,YHR003C
YKL060C,FBA1
YKL133C,YKL133C
YJL081C,ARP4
YGR024C,YGR024C
YKL206C,YKL206C
YDR370C,YDR370C
YJL154C,VPS35
YDR443C,SRB9
YDR516C,YDR516C
YER139C,YER139C
YDR087C,RRP1
YPL253C,VIK1
YLR071C,RGR1
YOR378W,YOR378W
YLR144C,ACF2
YKR092C,SRP40
YEL034W,HYP2
YDL128W,VCX1
YCL076W,YCL076W
YBL097W,BRN1
YOR379C,YOR379C
YFR045W,YFR045W
YER066W,YER066W
YPL180W,YPL180W
YEL035C,UTR5
YMR123W,PKR1
YLL040C,VPS13
YLR217W,YLR217W
YNL295W,YNL295W
YHR004C,NEM1
YKL134C,OCT1
YJL155C,FBP26
YFR046C,YFR046C
YIL176C,YIL176C
YDR088C,SLU7
YLR218C,YLR218C
YFL014W,HSP12
YDL056W,MBP1
YDL129W,YDL129W
YKL061W,YKL061W
YBL098W,YBL098W
YKL207W,YKL207W
YJL082W,YJL082W
YGR025W,YGR025W
YDR371W,YDR371W
YDR444W,YDR444W
YNR030W,ECM39
YDR517W,YDR517W
YER067W,YER067W
YFL015C,YFL015C
YPL181W,YPL181W
YEL036C,ANP1
YMR124W,YMR124W
YPL254W,HFI1
YLR072W,YLR072W
YLR145W,YLR145W
YKR093W,PTR2
YLL041C,SDH2
YHR005C,GPA1
YNL296W,YNL296W
YKL135C,APL2
YJL156C,SSY5
YOR010C,TIR2
YDR372C,YDR372C
YDR445C,YDR445C
YFR047C,YFR047C
YNR031C,SSK2
YPL182C,YPL182C
YLR073C,YLR073C
YLR146C,SPE4
YKR094C,RPL40B
YNL297C,YNL297C
YML020W,YML020W
YDL057W,YDL057W
YKL062W,MSN4
YBL099W,ATP1
YJL083W,YJL083W
YGR026W,YGR026W
YKL208W,CBT1
YDR518W,EUG1
YFL016C,MDJ1
YER068W,SIG1
YMR052W,FAR3
YEL037C,RAD23
YMR125W,STO1
YDR089W,YDR089W
YPL255W,BBP1
YML021C,UNG1
YLR219W,YLR219W
YLL042C,YLL042C
YKL063C,YKL063C
YJL084C,YJL084C
YKL209C,STE6
YGR027C,RPS25A
YJL157C,FAR1
YMR053C,STB2
YPL183C,YPL183C
YMR126C,YMR126C
YLR074C,YLR074C
YPL256C,CLN2
YLR147C,SMD3
YDL058W,USO1
YHR006W,STP2
YOR011W,YOR011W
YDR373W,FRQ1
YFR048W,YFR048W
YDR446W,ECM11
YLR430W,SEN1
YNR032W,PPG1
YDR519W,FKB2
YFL017C,GNA1
YER069W,"ARG5,6"
YDL059C,RAD59
YKR095W,MLP1
YNL298W,CLA4
YHR007C,ERG11
YDR374C,YDR374C
YJL158C,CIS3
YDR447C,RPS17B
YLR431C,YLR431C
YMR127C,SAS2
YPL184C,YPL184C
YNL001W,DOM34
YEL038W,UTR4
YML022W,APT1
YLL043W,FPS1
YKL064W,MNR2
YKL137W,YKL137W
YJL085W,EXO70
YGR028W,MSP1
YOR012W,YOR012W
YFR049W,YMR31
YNR033W,ABZ1
YFL018C,LPD1
YNL002C,RLP7
YMR054W,STV1
YEL039C,CYC7
YPL257W,YPL257W
YLR075W,RPL10
YML023C,YML023C
YLR148W,PEP3
YKR096W,YKR096W
YNL299W,TRF5
YHR008C,SOD2
YKL065C,YET1
YKL138C,MRPL31
YJL086C,YJL086C
YDR375C,BCS1
YMR055C,BUB2
YPL258C,THI21
YLR076C,YLR076C
YLR149C,YLR149C
YLL044W,YLL044W
YBR120C,CBP6
YGR029W,ERV1
YJL159W,HSP150
YOR013W,YOR013W
YDR448W,ADA2
YNR034W,SOL1
YLR432W,YLR432W
YNL003C,PET8
YMR128W,ECM16
YPL185W,YPL185W
YGR240C,PFK1
YKR097W,PCK1
YLL045C,RPL8B
YHR009C,YHR009C
YJL087C,TRL1
YDR449C,YDR449C
YNR035C,ARC35
YLR433C,CNA1
YMR056C,AAC1
YPL186C,YPL186C
YPL259C,APM1
YKR098C,UBP11
YML024W,RPS17A
YCR100C,YCR100C
YKL066W,YKL066W
YKL139W,CTK1
YBR121C,GRS1
YOR014W,RTS1
YDR376W,ARH1
YLR360W,VPS38
YMR129W,POM152
YML025C,YML025C
YGR241C,YAP1802
YLR077W,YLR077W
YLL046C,RNP1
YLR361C,YLR361C
YNR036C,YNR036C
YLR434C,YLR434C
YMR057C,YMR057C
YLR078C,BOS1
YNL004W,HRB1
YCR101C,YCR101C
YKL067W,YNK1
YBR122C,MRPL36
YAR070C,YAR070C
YJL088W,ARG3
YDR377W,ATP17
YOR015W,YOR015W
YNL005C,MRP7
YPL187W,MFALPHA1
YML026C,RPS18B
YKR099W,BAS1
YOR016C,ERP4
YDR378C,LSM6
YGL210W,YPT32
YNR037C,YNR037C
YGR242W,YGR242W
YLL047W,YLL047W
YCR102C,YCR102C
YBR050C,REG2
YKL068W,NUP100
YBR123C,TFC1
YJL089W,SIP4
YLR362W,STE11
YLR435W,YLR435W
YMR058W,FET3
YPL188W,POS5
YLR079W,SIC1
YLL048C,YBT1
YLR290C,YLR290C
YLR363C,NMD4
YGL211W,YGL211W
YLR436C,ECM30
YAR071W,PHO11
YAL040C,CLN3
YNL006W,LST8
YGR170W,PSD2
YGR243W,YGR243W
YML027W,YOX1
YCR030C,YCR030C
YOR300W,YOR300W
YCR103C,YCR103C
YKL069W,YKL069W
YOR017W,PET127
YDR379W,RGA2
YNR038W,DBP6
YNL007C,SIS1
YMR059W,SEN15
YPL189W,YPL189W
YGR171C,MSM1
YGR244C,LSC2
YMR270C,RRN9
YLR291C,GCD7
YLR437C,YLR437C
YNR039C,YNR039C
YGL212W,VAM7
YBR051W,YBR051W
YBR124W,YBR124W
YHR150W,YHR150W
YDR010C,YDR010C
YML028W,TSA1
YGL140C,YGL140C
YOR301W,RAX1
YGL213C,SKI8
YLL049W,YLL049W
YCR031C,RPS14A
YBR052C,YBR052C
YBR125C,PTC4
YOR018W,ROD1
YLR364W,YLR364W
YHR151C,YHR151C
YNL008C,YNL008C
YGR172C,YIP1
YGR245C,YGR245C
YBL020W,RFT1
YAL041W,CDC24
YMR271C,URA10
YLR292C,SEC72
YCR104W,PAU3
YBL021C,HAP3
YAR073W,YAR073W
YML029W,YML029W
YBR053C,YBR053C
YBR126C,TPS1
YOR019W,YOR019W
YLR365W,YLR365W
YLR438W,CAR2
YGR246C,BRF1
YAL042W,YAL042W
YMR272C,SCS7
YDR011W,SNQ2
YLR293C,GSP1
YCR032W,BPH1
YGL214W,YGL214W
YCR105W,YCR105W
YBL022C,PIM1
YJR110W,YJR110W
YAL043C,PTA1
YHR214W-A,YHR214W-A
YHR152W,SPO12
YNL009W,IDP3
YGR173W,YGR173W
YOR230W,WTM1
YGL142C,GPI10
YOR303W,CPA1
YBR127C,VMA2
YJR111C,YJR111C
YLR366W,YLR366W
YLR439W,MRPL4
YHR080C,YHR080C
YHR153C,SPO16
YGR174C,CBP4
YIL100W,YIL100W
YMR273C,ZDS1
YLR294C,YLR294C
YDR012W,RPL4B
YCR033W,YCR033W
YGL215W,CLG1
YCR106W,YCR106W
YBR054W,YRO2
YCL002C,YCL002C
YNL220W,ADE12
YAR075W,YAR075W
YBL023C,MCM2
YAL044C,GCV3
YIL101C,XBP1
YGR247W,YGR247W
YGL070C,RPB9
YGL143C,MRF1
YOR231W,MKK1
YOR304W,ISW2
YBR055C,PRP6
YBR128C,APG14
YNL221C,POP1
YLR367W,RPS22B
YGR175C,ERG1
YMR274C,RCE1
YLR295C,ATP14
YDR013W,YDR013W
YGL216W,KIP3
YCR034W,FEN1
YCR107W,AAD3
YJR112W,NNF1
YAL045C,YAL045C
YHR081W,YHR081W
YHR154W,ESC4
YIL102C,YIL102C
YHL050C,YHL050C
YGR248W,SOL4
YOR232W,MGE1
YGL144C,YGL144C
YCR035C,RRP43
YOR305W,YOR305W
YGL217C,YGL217C
YBR129C,OPY1
YJR113C,YJR113C
YLR368W,YLR368W
YHR082C,KSP1
YBL024W,NCL1
YOR306C,YOR306C
YMR275C,BUL1
YGL071W,RCS1
YDR014W,YDR014W
YBR056W,YBR056W
YJR040W,GEF1
YNL222W,SSU72
YAL046C,YAL046C
YIL030C,SSM4
YHR155W,YHR155W
YGR176W,YGR176W
YDR015C,YDR015C
YOR160W,MTR10
YGL072C,YGL072C
YGR249W,MGA1
YOR233W,KIN4
YBR057C,MUM2
YJR041C,YJR041C
YLR296W,YLR296W
YLR369W,SSQ1
YHR156C,YHR156C
YCL004W,PEL1
YGR177C,ATF2
YBL025W,RRN10
YOR161C,YOR161C
YOR234C,RPL33B
YOR307C,SLY41
YIL103W,YIL103W
YGL145W,TIP20
YGL218W,YGL218W
YCR036W,RBK1
YKR020W,YKR020W
YNL150W,YNL150W
YNL223W,AUT2
YJR114W,YJR114W
YJL010C,YJL010C
YAL047C,SPC72
YHR083W,YHR083W
YIL104C,YIL104C
YPR140W,YPR140W
YDR016C,YDR016C
YGL146C,YGL146C
YCR037C,PHO87
YGL219C,YGL219C
YNL151C,RPC31
YBR058C,UBP14
YNL224C,YNL224C
YMR276W,DSK2
YLR297W,YLR297W
YPR141C,KAR3
YCL005W,YCL005W
YGR178C,PBP1
YOR162C,YRR1
YBL026W,LSM2
YOR308C,SNU66
YIL031W,SMT4
YLR298C,YHC1
YGL073W,HSF1
YOL130W,ALR1
YKR021W,YKR021W
YCL006C,YCL006C
YJR115W,YJR115W
YJL011C,YJL011C
YDR300C,PRO1
YAL048C,YAL048C
YIL032C,YIL032C
YHR084W,STE12
YIL105C,YIL105C
YHR157W,REC104
YDR017C,KCS1
YPL110C,YPL110C
YGL074C,YGL074C
YLR001C,YLR001C
YGL147C,RPL9A
YCR038C,BUD5
YKR022C,YKR022C
YBR059C,YBR059C
YNL225C,CNM67
YJR043C,POL32
YMR277W,FCP1
YHR158C,KEL1
YPR142C,YPR142C
YGR179C,YGR179C
YOR090C,PTC5
YBL027W,RPL19B
YOR309C,YOR309C
YOL131W,YOL131W
YNL152W,YNL152W
YCL007C,CWH36
YBL028C,YBL028C
YJR116W,YJR116W
YJL012C,YJL012C
YAL049C,YAL049C
YHR085W,YHR085W
YIL033C,SRA1
YBR270C,YBR270C
YDR018C,YDR018C
